CODENAME        OSARCH        CATEGORY                    PACKAGE                         VERSION                FILENAME                                                 MD5                                     
focal           arm64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         c91a08f13cdd1bed7737451702abd917        
focal           armhf         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         c91a08f13cdd1bed7737451702abd917        
jammy           amd64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         537fc4db560b087eedea89c7668cf885        
stretch         amd64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         7c5126ad318d4cef14dd2a47ab4e7e41        
stretch         arm64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         7c5126ad318d4cef14dd2a47ab4e7e41        
stretch         armhf         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         7c5126ad318d4cef14dd2a47ab4e7e41        
xenial          amd64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         bb9ff2467a07b9ce525a4d402e7c99f5        
xenial          arm64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         46453b4a8f08a96471b1ed281653177b        
xenial          armhf         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         4314386b17e12009fd4b9a92a5a65903        
bionic          amd64         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      bd2639c81bfbbabbb031a5af165f444c        
bionic          arm64         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      bd2639c81bfbbabbb031a5af165f444c        
bionic          armhf         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      bd2639c81bfbbabbb031a5af165f444c        
buster          amd64         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      7ef19549e8e36836fadf7d34e0409044        
buster          arm64         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      7ef19549e8e36836fadf7d34e0409044        
buster          armhf         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      7ef19549e8e36836fadf7d34e0409044        
jessie          amd64         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      9919b1f51e8becea5f0efca3d2bc1dd4        
jessie          armhf         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      45c0287bcf85a60f990ea118a1b9099a        
stretch         amd64         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      a3b1919c05af4c67c72f7845ab36c76a        
stretch         arm64         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      a3b1919c05af4c67c72f7845ab36c76a        
stretch         armhf         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      a3b1919c05af4c67c72f7845ab36c76a        
xenial          amd64         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      711eb9b8c487a11047571434edc85ace        
xenial          arm64         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      6c392ce037eb93fa2fe635c39438ad2e        
xenial          armhf         deluge                      deluge-webui                    1.3.15                 deluge-webui_1.3.15-1build1_all.deb                      0e1a69a52d216dda58657283c86f98c4        
buster          arm64         deluge                      deluge-webui                    2.0.3                  deluge-webui_2.0.3-1build1_all.deb                       95b68f0f9061bfa01c40af1a79a533b3        
stretch         arm64         deluge                      deluge-webui                    2.0.3                  deluge-webui_2.0.3-1build1_all.deb                       4fc6a07f6fb961e6fc40508de2cd1e8a        
bionic          amd64         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            6ef00a318c661a751d4fe14ee5b1501b        
bionic          arm64         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            6ef00a318c661a751d4fe14ee5b1501b        
bionic          armhf         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            6ef00a318c661a751d4fe14ee5b1501b        
buster          amd64         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            3914bee926d4c2d29dcf2262650f94c5        
buster          arm64         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            3914bee926d4c2d29dcf2262650f94c5        
buster          armhf         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            3914bee926d4c2d29dcf2262650f94c5        
jessie          amd64         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            ff791de1d0427ca4bdf53a1389deba72        
jessie          armhf         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            ceff2c9bdb9d41335239bd546ddfb5c3        
stretch         amd64         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            24625a87e46f009d3c27ca76bf112e62        
stretch         arm64         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            24625a87e46f009d3c27ca76bf112e62        
stretch         armhf         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            24625a87e46f009d3c27ca76bf112e62        
xenial          amd64         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            d51308ed13b2512068dee67c9b8a1931        
xenial          arm64         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            738c09f18e0be1df2eaef9109d84c74b        
xenial          armhf         deluge                      deluge                          1.3.15                 deluge_1.3.15-1build1_all.deb                            b6a30e78373324b50e960d69ca6bdcf6        
bionic          amd64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             1a96b108ecd8f020e86c30dc5efc68de        
bionic          arm64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             1a96b108ecd8f020e86c30dc5efc68de        
bionic          armhf         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             1a96b108ecd8f020e86c30dc5efc68de        
bullseye        amd64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             6e7037302ba53ae06f60705c54a4e704        
buster          amd64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             47b4254b26b61c9109e0d0f95984ab2f        
buster          arm64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             47b4254b26b61c9109e0d0f95984ab2f        
buster          armhf         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             47b4254b26b61c9109e0d0f95984ab2f        
focal           amd64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             c55878042abb9229baf1f13fafeed6f1        
focal           arm64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             c55878042abb9229baf1f13fafeed6f1        
focal           armhf         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             c55878042abb9229baf1f13fafeed6f1        
jammy           amd64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             c2cd6f87b429cd20ce338142ec5392a2        
stretch         amd64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             daf4026b2b5e33e0ade54e09eceff99a        
stretch         arm64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             daf4026b2b5e33e0ade54e09eceff99a        
stretch         armhf         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             daf4026b2b5e33e0ade54e09eceff99a        
xenial          amd64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             7f3e2db1989ae8b8ad6a40ddf0475dc9        
xenial          arm64         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             c779eb5e4ce734ab05e28fea688bf6c0        
xenial          armhf         deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             9a162df3c0d867cdbc55598f54def08a        
bionic          amd64         deluge                      deluged                         1.3.15                 deluged_1.3.15-1build1_all.deb                           539bf0b7564ad9711257bf4fbf9fdc3b        
bionic          arm64         deluge                      deluged                         1.3.15                 deluged_1.3.15-1build1_all.deb                           539bf0b7564ad9711257bf4fbf9fdc3b        
